"timestamp","provided_gate_voltage","provided_channel_voltage","drain_voltage","drain_current","measured_gate_voltage","measured_gate_current"
"1771620622.5949235","-1.0","0.05","0.0499991","2.08712e-07","-0.999951","-4.53841e-06"
"1771620625.6179152","-0.99","0.05","0.0499965","1.90727e-07","-0.989966","-4.46409e-06"
"1771620628.4488225","-0.98","0.05","0.0499948","1.81654e-07","-0.97998","-4.47863e-06"
"1771620631.2636368","-0.97","0.05","0.0499959","1.74659e-07","-0.96997","-4.51603e-06"
"1771620634.0785995","-0.96","0.05","0.0499966","1.65458e-07","-0.95996","-4.54897e-06"
"1771620637.7247927","-0.95","0.05","0.0499987","1.58676e-07","-0.949969","-4.52014e-06"
"1771620640.5398514","-0.94","0.05","0.0499948","1.55259e-07","-0.939963","-4.48088e-06"
"1771620643.3708184","-0.9299999999999999","0.05","0.049994","1.49486e-07","-0.929973","-4.37169e-06"
"1771620646.217741","-0.9199999999999999","0.05","0.0499981","1.48303e-07","-0.919968","-4.38467e-06"
"1771620649.0802512","-0.9099999999999999","0.05","0.049997","1.43046e-07","-0.909979","-4.26762e-06"
"1771620652.342744","-0.8999999999999999","0.05","0.0499995","1.39167e-07","-0.899976","-4.15522e-06"
"1771620655.6214585","-0.8899999999999999","0.05","0.0499998","1.36525e-07","-0.889982","-4.21698e-06"
"1771620658.4685156","-0.8799999999999999","0.05","0.0499985","1.34208e-07","-0.879978","-4.18068e-06"
"1771620661.315266","-0.8699999999999999","0.05","0.0500004","1.31947e-07","-0.869972","-4.12587e-06"
"1771620664.1619473","-0.8599999999999999","0.05","0.0499965","1.33661e-07","-0.859981","-4.07992e-06"
"1771620667.008921","-0.8499999999999999","0.05","0.0499972","1.27012e-07","-0.849972","-4.07538e-06"
"1771620670.6874843","-0.8399999999999999","0.05","0.0499974","1.24492e-07","-0.839987","-4.03743e-06"
"1771620673.5343168","-0.8299999999999998","0.05","0.0500003","1.22404e-07","-0.829984","-3.9634e-06"
"1771620676.3807688","-0.8199999999999998","0.05","0.0499957","1.21747e-07","-0.819995","-3.93253e-06"
"1771620679.227634","-0.8099999999999998","0.05","0.0499955","1.18729e-07","-0.809989","-3.8773e-06"
"1771620682.074423","-0.7999999999999998","0.05","0.0499969","1.18335e-07","-0.800002","-3.84253e-06"
"1771620685.593113","-0.7899999999999998","0.05","0.0499941","1.19668e-07","-0.789988","-3.80922e-06"
"1771620689.3193269","-0.7799999999999998","0.05","0.0499958","1.13553e-07","-0.780005","-3.73231e-06"
"1771620692.6298707","-0.7699999999999998","0.05","0.0499946","1.13358e-07","-0.769998","-3.6735e-06"
"1771620695.9405553","-0.7599999999999998","0.05","0.0499934","1.10008e-07","-0.759992","-3.64317e-06"
"1771620699.2512126","-0.7499999999999998","0.05","0.0499984","1.11958e-07","-0.749998","-3.59556e-06"
"1771620703.3934321","-0.7399999999999998","0.05","0.0499974","1.09613e-07","-0.739993","-3.52746e-06"
"1771620706.704238","-0.7299999999999998","0.05","0.0499953","1.0627e-07","-0.730003","-3.50323e-06"
"1771620710.0148327","-0.7199999999999998","0.05","0.0499922","1.06942e-07","-0.719995","-3.43515e-06"
"1771620713.3412976","-0.7099999999999997","0.05","0.0499947","1.05511e-07","-0.710005","-3.36714e-06"
"1771620717.0678313","-0.6999999999999997","0.05","0.0499969","1.02275e-07","-0.699994","-3.33409e-06"
"1771620720.7944024","-0.6899999999999997","0.05","0.0499964","9.97619e-08","-0.690005","-3.26926e-06"
"1771620723.67351","-0.6799999999999997","0.05","0.0499978","1.00597e-07","-0.680001","-3.21002e-06"
"1771620726.9837694","-0.6699999999999997","0.05","0.0499993","9.96087e-08","-0.669996","-3.0815e-06"
"1771620729.8298607","-0.6599999999999997","0.05","0.0499947","9.79366e-08","-0.660007","-3.11025e-06"
"1771620733.0931983","-0.6499999999999997","0.05","0.0499942","9.9611e-08","-0.650002","-3.05785e-06"
"1771620736.3591068","-0.6399999999999997","0.05","0.0499969","9.63433e-08","-0.640013","-2.9993e-06"
